9	133589333	133763062	ABL1
1	179068462	179198819	ABL2
7	5566782	5603415	ACTB
17	79476997	79490873	ACTG1
22	18216906	18257536	BID
4	185548850	185570663	CASP3
2	202098166	202152434	CASP8
1	15817327	15853029	CASP9
7	116164839	116201233	CAV1
11	69455855	69469242	CCND1
2	204571198	204603635	CD28
20	44746911	44758502	CD40
X	135730352	135742549	CD40LG
1	207494853	207534311	CD55
3	119243140	119278449	CD80
3	121774213	121839983	CD86
21	18884700	18965897	CXADR
7	25159710	25164980	CYCS
3	49506146	49573048	DAG1
X	31115794	33357558	DMD
3	184032283	184053146	EIF4G1
11	10818597	10830657	EIF4G2
1	21132963	21503377	EIF4G3
6	111981535	112194655	FYN
6	29909037	29913661	HLA-A
6	31321649	31324965	HLA-B
6	31236526	31239907	HLA-C
6	32916390	32936871	HLA-DMA
6	32902406	32908847	HLA-DMB
6	32971955	32977389	HLA-DOA
6	32780540	32784825	HLA-DOB
6	33032346	33048552	HLA-DPA1
6	33043703	33054978	HLA-DPB1
6	32595956	32614839	HLA-DQA1
6	32709119	32714992	HLA-DQA2
6	32627244	32636160	HLA-DQB1
6	32407619	32412823	HLA-DRA
6	32546546	32557625	HLA-DRB1
6	32485120	32498064	HLA-DRB5
6	30457244	30461982	HLA-E
6	29690552	29706305	HLA-F
6	29794744	29798902	HLA-G
19	10381511	10397291	ICAM1
16	30483979	30534506	ITGAL
21	46305868	46351904	ITGB2
6	129204342	129837714	LAMA2
17	10395624	10421860	MYH1
17	8377523	8534079	MYH10
16	15797029	15950890	MYH11
17	10201401	10276447	MYH13
19	50691443	50813802	MYH14
3	108099216	108248169	MYH15
17	10424465	10453274	MYH2
17	10531843	10560626	MYH3
17	10346607	10372876	MYH4
14	23851199	23877486	MYH6
14	23881947	23904927	MYH7
20	33563206	33590240	MYH7B
17	10293639	10325267	MYH8
22	36677327	36784063	MYH9
10	72357104	72362531	PRF1
7	6414154	6443608	RAC1
22	37621301	37640488	RAC2
17	79989500	79992080	RAC3
17	48241575	48253292	SGCA
4	52886872	52904648	SGCB
5	155297354	156194799	SGCD
13	23755091	23899304	SGCG
